"ID","status","sentence","sparqlQald"
"286","Parsed","Give me all actors starring in movies directed by William Shatner.","SELECT ?Answer WHERE { http://dbpedia.org/resource/Directed_by_John_Ford <http://dbpedia.org/ontology/starring> ?Answer .}"
"287","Not Parsed","How tall is Claudia Schiffer?","N"
"288","Not Parsed","how much is the population densty rank of germany?","N"
"289","Not Parsed","What is the highest mountain in Italy?","N"
"290","Parsed","List all games by GMT.","SELECT ?Answer WHERE { ?Answer <http://dbpedia.org/ontology/publisher> http://dbpedia.org/resource/GMT_Games .}"
"291","Parsed","What is the official language of Suriname?","SELECT ?Answer WHERE { <http://dbpedia.org/resource/Suriname> <http://dbpedia.org/ontology/officialLanguage> ?Answer .}"
"292","Parsed","In which city did Nikos Kazantzakis die?","SELECT ?Answer WHERE { <http://dbpedia.org/resource/Nikos_Kazantzakis> <http://dbpedia.org/ontology/deathPlace> ?Answer .}"
"293","Not Parsed","What is in a chocolate chip cookie?","N"
"294","Parsed","In which country is the Limerick Lake?","SELECT ?Answer WHERE { http://dbpedia.org/resource/Veronica_Lake <http://dbpedia.org/ontology/birthPlace> ?Answer .}"
"295","Parsed","Give me all video games published by Mean Hamster Software.","SELECT ?Answer WHERE { ?Answer <http://dbpedia.org/ontology/publisher> <http://dbpedia.org/resource/Mean_Hamster_Software> .}"
"296","Parsed","Give me all members of Prodigy.","SELECT ?Answer WHERE { http://dbpedia.org/resource/The_Prodigy <http://dbpedia.org/ontology/bandMember> ?Answer .}"
"297","Not Parsed","In which time zone is Rome?","N"
"298","Not Parsed","How high is the lighthouse in Colombo?","N"
"299","Not Parsed","Who are the writers of the Wall album of Pink Floyd?","N"
"300","Parsed","Who is the mayor of Rotterdam?","SELECT ?Answer WHERE { <http://dbpedia.org/resource/Rotterdam> <http://dbpedia.org/ontology/leaderName> ?Answer .}"
"301","Not Parsed","What is the largest city in Australia?","N"
"302","Not Parsed","Who was married to president Chirac?","N"
"303","Not Parsed","What form of government is found in South Africa?","N"
"304","Not Parsed","How high is the Yokohama Marine Tower?","N"
"305","Not Parsed","Which holidays are celebrated around the world? ","N"
"306","Not Parsed","Who is the tallest basketball player?","N"
"307","Not Parsed","How many languages are spoken in Turkmenistan?","N"
"308","Not Parsed","Did Che Guevara have children?","N"
"309","Not Parsed","Did Kaurismäki ever win the Grand Prix at Cannes?","N"
"310","Parsed","To which party does the mayor of Paris belong?","SELECT ?Answer WHERE { http://dbpedia.org/resource/The_House_of_Culture_(Helsinki) <http://dbpedia.org/ontology/architecturalStyle> ?Answer .}"
"311","Not Parsed","Who is the Formula 1 race driver with the most races?","N"
"312","Not Parsed","What country is Sitecore from?","N"
"313","Parsed","Give me the birth place of Frank Sinatra.","SELECT ?Answer WHERE { <http://dbpedia.org/resource/Frank_Sinatra> <http://dbpedia.org/ontology/birthPlace> ?Answer .}"
"314","Not Parsed","Is Christian Bale starring in Velvet Goldmine?","N"
"315","Parsed","Who is the son of Sonny and Cher?","SELECT ?Answer WHERE { http://dbpedia.org/resource/Cher <http://dbpedia.org/ontology/child> ?Answer .}"
"316","Not Parsed","How many ethnic groups live in Slovenia?","N"
"317","Parsed","What is the capital of Cameroon?","SELECT ?Answer WHERE { <http://dbpedia.org/resource/Cameroon> <http://dbpedia.org/ontology/capital> ?Answer .}"
"318","Not Parsed","Was Natalie Portman born in the United States?","N"
"319","Parsed","How many pages does War and Peace have?","SELECT ?Answer WHERE { http://dbpedia.org/resource/War_Heroes_Stadium <http://dbpedia.org/ontology/seatingCapacity> ?Answer .}"
"320","Not Parsed","Who is the oldest child of Meryl Streep?","N"
"321","Parsed","Which television shows were created by Walt Disney?","SELECT ?Answer WHERE { ?Answer <http://dbpedia.org/ontology/author> http://dbpedia.org/resource/The_Walt_Disney_Company .}"
"322","Not Parsed","What does IYCM stand for?","N"
"323","Parsed","Which types of grapes grow in Oregon?","SELECT ?Answer WHERE { http://dbpedia.org/resource/Oregon_wine <http://dbpedia.org/ontology/growingGrape> ?Answer .}"
"324","Not Parsed","Was U.S. president Jackson involved in a war?","N"
"325","Not Parsed","When was the Titanic completed?","N"
"326","Not Parsed","Did Tesla win a nobel prize in physics?","N"
"327","Not Parsed","How many states are in Mexico?","N"
"328","Parsed","Which scientist is known for the Manhattan Project and the Nobel Peace Prize?","SELECT ?Answer WHERE { ?Answer <http://dbpedia.org/ontology/knownFor> http://dbpedia.org/resource/The_Manhattan_Project .}"
"329","Not Parsed","How much did the Lego Movie cost?","N"
"330","Parsed","Who composed the music for Harold and Maude?","SELECT ?Answer WHERE { http://dbpedia.org/resource/Harold_and_Maude <http://dbpedia.org/ontology/musicComposer> ?Answer .}"
"331","Parsed","List all episodes of the first season of the HBO television series The Sopranos.","SELECT ?Answer WHERE { http://dbpedia.org/resource/The_Sopranos_(episode) <http://dbpedia.org/ontology/seasonNumber> ?Answer .}"
"332","Not Parsed","Which city has the least inhabitants?","N"
"333","Parsed","Where is Syngman Rhee buried?","SELECT ?Answer WHERE { <http://dbpedia.org/resource/Syngman_Rhee> <http://dbpedia.org/ontology/restingPlace> ?Answer .}"
"334","Not Parsed","Does Neymar play for Real Madrid?","N"
"335","Parsed","Who wrote the book The Pillars of the Earth?","SELECT ?Answer WHERE { <http://dbpedia.org/resource/The_Pillars_of_the_Earth> <http://dbpedia.org/ontology/author> ?Answer .}"
"336","Not Parsed","Do Prince Harry and Prince William have the same parents?","N"
"337","Parsed","Who was the doctoral supervisor of Albert Einstein?","SELECT ?Answer WHERE { <http://dbpedia.org/resource/Albert_Einstein> <http://dbpedia.org/ontology/doctoralAdvisor> ?Answer .}"
"338","Not Parsed","Does Breaking Bad have more episodes than Game of Thrones?","N"
"339","Parsed","Who was Vincent van Gogh inspired by?","SELECT ?Answer WHERE { ?Answer <http://dbpedia.org/ontology/influenced> <http://dbpedia.org/resource/Vincent_van_Gogh> .}"
"340","Not Parsed","Which building after the Burj Khalifa has the most floors?","N"
"341","Not Parsed","What was the final result of the War of the Roses?","N"
"342","Not Parsed","How much did Pulp Fiction cost?","N"
"343","Not Parsed","Is proinsulin a protein?","N"
"344","Not Parsed","Do Urdu and Persian have a common root?","N"
"345","Not Parsed","Who is starring in Spanish movies produced by Benicio del Toro?","N"
"346","Not Parsed","Is Lake Baikal bigger than the Great Bear Lake?","N"
"347","Not Parsed","Show me all books in Asimov's Foundation series.","N"
"348","Parsed","Where was Bach born?","SELECT ?Answer WHERE { <http://dbpedia.org/resource/Bach_(actor)> <http://dbpedia.org/ontology/birthPlace> ?Answer .}"
"349","Not Parsed","Which city has the oldest running metro?","N"
"350","Parsed","Who designed the Brooklyn Bridge?","SELECT ?Answer WHERE { <http://dbpedia.org/resource/Brooklyn_Bridge> <http://dbpedia.org/ontology/architect> ?Answer .}"
"351","Parsed","How many people live in Eurasia?","SELECT ?Answer WHERE { <http://dbpedia.org/resource/Eurasia> <http://dbpedia.org/ontology/populationTotal> ?Answer .}"
"352","Parsed","Who is the host of the BBC Wildlife Specials?","SELECT ?Answer WHERE { <http://dbpedia.org/resource/BBC_Wildlife_Specials> <http://dbpedia.org/ontology/presenter> ?Answer .}"
"353","Not Parsed","What is the total population of Melbourne, Florida?","N"
"354","Parsed","What country is Mount Everest in?","SELECT ?Answer WHERE { http://dbpedia.org/resource/Willie_Mount <http://dbpedia.org/ontology/birthPlace> ?Answer .}"
"355","Parsed","To which artistic movement did the painter of The Three Dancers belong?","SELECT ?Answer WHERE { ?Answer <http://dbpedia.org/ontology/artist> http://dbpedia.org/resource/The_The .}"
"356","Parsed","When did Operation Overlord commence?","SELECT ?Answer WHERE { <http://dbpedia.org/resource/Operation_Overlord> <http://dbpedia.org/ontology/date> ?Answer .}"
"357","Not Parsed","What is the bridge with the longest span?","N"
"358","Not Parsed","Is there a video game called Battle Chess?","N"
"359","Parsed","Who was buried in the Great Pyramid of Giza?","SELECT ?Answer WHERE { ?Answer <http://dbpedia.org/ontology/restingPlace> http://dbpedia.org/resource/Great_Pyramid_of_Giza .}"
"360","Not Parsed","Does the Ford Motor Company have a manufacturing plant in Malaysia?","N"
"361","Not Parsed","Did Socrates influence Aristotle?","N"
"362","Not Parsed","How many children did Benjamin Franklin have?","N"
"363","Not Parsed","How tall is Michael Jordan?","N"
"364","Parsed","In which UK city are the headquarters of the MI6?","SELECT ?Answer WHERE { http://dbpedia.org/resource/Wolfgang_of_the_Palatinate <http://dbpedia.org/ontology/birthPlace> ?Answer .}"
"365","Parsed","Who created Family Guy?","SELECT ?Answer WHERE { http://dbpedia.org/resource/Family_(Blumenfeld) <http://dbpedia.org/ontology/author> ?Answer .}"
"366","Not Parsed","In which city does the Chile Route 68 end?","N"
"367","Not Parsed","Give me the grandchildren of Elvis Presley.","N"
"368","Parsed","When did the Ming dynasty dissolve?","SELECT ?Answer WHERE { <http://dbpedia.org/resource/Ming_dynasty> <http://dbpedia.org/ontology/dissolutionDate> ?Answer .}"
"369","Not Parsed","In which military conflicts did Lawrence of Arabia participate?","N"
"370","Not Parsed","What is the timezone in San Pedro de Atacama?","N"
"371","Parsed","Give me all books by William Goldman with more than 300 pages.","SELECT ?Answer WHERE { ?Answer <http://dbpedia.org/ontology/author> http://dbpedia.org/resource/William_Goldman .}"
"372","Not Parsed","What did Bruce Carver die from?","N"
"373","Parsed","Which subsidiary of Lufthansa serves both Dortmund and Berlin Tegel?","SELECT ?Answer WHERE { http://dbpedia.org/resource/Air_Berlin <http://dbpedia.org/ontology/targetAirport> ?Answer .}"
"374","Not Parsed","Does Abraham Lincoln's death place have a website?","N"
"375","Not Parsed","Did Elvis Presley have children?","N"
"376","Parsed","Is Michelle Obama the wife of Barack Obama?","SELECT ?Answer WHERE { <http://dbpedia.org/resource/Barack_Obama> <http://dbpedia.org/ontology/spouse> ?Answer .}"
"377","Parsed","In which city does Sylvester Stallone live?","SELECT ?Answer WHERE { <http://dbpedia.org/resource/Sylvester_(film)> <http://dbpedia.org/ontology/starring> ?Answer .}"
"378","Parsed","Which books by Kerouac were published by Viking Press?","SELECT ?Answer WHERE { ?Answer <http://dbpedia.org/ontology/publisher> <http://dbpedia.org/resource/Viking_Press> .}"
"379","Parsed","Who wrote the song Hotel California?","SELECT ?Answer WHERE { <http://dbpedia.org/resource/Hotel_California_(2013_film)> <http://dbpedia.org/ontology/writer> ?Answer .}"
"380","Parsed","What is the capital of Canada?","SELECT ?Answer WHERE { <http://dbpedia.org/resource/Canada_(New_France)> <http://dbpedia.org/ontology/capital> ?Answer .}"
"381","Parsed","Who is the mayor of Tel Aviv?","SELECT ?Answer WHERE { <http://dbpedia.org/resource/Tel_Aviv> <http://dbpedia.org/ontology/leaderName> ?Answer .}"
"382","Not Parsed","What form of government does Russia have?","N"
"383","Parsed","Show me the book that Muhammad Ali wrote.","SELECT ?Answer WHERE { ?Answer <http://dbpedia.org/ontology/author> <http://dbpedia.org/resource/Muhammad_Ali> .}"
"384","Not Parsed","Who was the first to climb Mount Everest?","N"
"385","Not Parsed","How many languages are spoken in Colombia?","N"
"386","Parsed","What is the currency of the Czech Republic?","SELECT ?Answer WHERE { <http://dbpedia.org/resource/Czech_Republic> <http://dbpedia.org/ontology/currency> ?Answer .}"
"387","Not Parsed","Where in France is sparkling wine produced?","N"
"388","Parsed","When did Boris Becker end his active career?","SELECT ?Answer WHERE { <http://dbpedia.org/resource/Boris_Becker> <http://dbpedia.org/ontology/activeYearsEndDate> ?Answer .}"
"389","Parsed","Which movies starring Mickey Rourke were directed by Guy Ritchie?","SELECT ?Answer WHERE { ?Answer <http://dbpedia.org/ontology/director> <http://dbpedia.org/resource/Guy_Ritchie> .}"
"390","Parsed","In which films did Julia Roberts as well as Richard Gere play?","SELECT ?Answer WHERE { ?Answer <http://dbpedia.org/ontology/genre> http://dbpedia.org/resource/Richard_Wagner .}"
"391","Not Parsed","Show me Hemingway's autobiography.","N"
"392","Not Parsed","How tall is Amazon Eve?","N"
"393","Not Parsed","What are the five boroughs of New York?","N"
"394","Not Parsed","Give me all Canadian Grunge record labels.","N"
"395","Parsed","In which country does the Ganges start?","SELECT ?Answer WHERE { http://dbpedia.org/resource/The_(206) <http://dbpedia.org/ontology/starring> ?Answer .}"
"396","Parsed","Who is the founder of Penguin Books?","SELECT ?Answer WHERE { http://dbpedia.org/resource/Palladium_Books <http://dbpedia.org/ontology/foundedBy> ?Answer .}"
"397","Parsed","Who wrote the Game of Thrones theme?","SELECT ?Answer WHERE { http://dbpedia.org/resource/A_Game_of_Thrones <http://dbpedia.org/ontology/author> ?Answer .}"
"398","Parsed","Who is the president of Eritrea?","SELECT ?Answer WHERE { <http://dbpedia.org/resource/Eritrea> <http://dbpedia.org/ontology/leader> ?Answer .}"
"399","Not Parsed","In which city did John F. Kennedy die?","N"
"400","Not Parsed","What is the highest mountain in Australia?","N"
"401","Parsed","Who writes the Farmers' Almanac?","SELECT ?Answer WHERE { http://dbpedia.org/resource/Neanderthals,_Bandits_and_Farmers <http://dbpedia.org/ontology/author> ?Answer .}"
"402","Parsed","Give me the currency of China.","SELECT ?Answer WHERE { <http://dbpedia.org/resource/China> <http://dbpedia.org/ontology/currency> ?Answer .}"
"403","Not Parsed","Give me all Swedish oceanographers.","N"
"404","Parsed","In which city are the headquarters of the United Nations?","SELECT ?Answer WHERE { http://dbpedia.org/resource/Permanent_Representative_of_Israel_to_the_United_Nations <http://dbpedia.org/ontology/birthPlace> ?Answer .}"
"405","Parsed","Is Rita Wilson the wife of Tom Hanks?","SELECT ?Answer WHERE { <http://dbpedia.org/resource/Tom_Hanks> <http://dbpedia.org/ontology/spouse> ?Answer .}"
"406","Parsed","In which countries do people speak Japanese?","SELECT ?Answer WHERE { http://dbpedia.org/resource/Japanese_Wikipedia <http://dbpedia.org/ontology/language> ?Answer .}"
"407","Not Parsed","Which of Tim Burton's films had the highest budget?","N"
"408","Not Parsed","Which museum in New York has the most visitors?","N"
"409","Not Parsed","What was the first Queen album?","N"
"410","Not Parsed","What was the first name of the band Queens of the Stone Age?","N"
"411","Not Parsed","What was the last movie with Alec Guinness?","N"
"412","Parsed","Give me all actors starring in Last Action Hero.","SELECT ?Answer WHERE { <http://dbpedia.org/resource/Last_Action_Hero> <http://dbpedia.org/ontology/starring> ?Answer .}"
"413","Parsed","Who discovered Pluto?","SELECT ?Answer WHERE { <http://dbpedia.org/resource/Pluto> <http://dbpedia.org/ontology/discoverer> ?Answer .}"
